name,category,phone,website,email,address
Vitamina,marketing digital,,avitamina.pt,ola@avitamina.pt,Braga
Fluxo Digital,marketing digital,,fluxodigital.pt,geral@fluxodigital.pt,Braga
DESIGNYES,marketing digital,,designyes.pt,geral@designyes.pt,Coimbra
Inovve,marketing digital,,inovve.com,geral@inovve.com,Coimbra
I AM Social,marketing digital,,iamsocial.pt,geral@iamsocial.pt,Coimbra
Marketing 360,marketing digital,,marketing360.pt,digital@marketing360.pt,Aveiro
Contágio,agência criativa,,contagio.pt,hello@contagio.pt,Aveiro
ADAUGE,growth & automation,930347156,adauge.com,hola@adauge.com,Barcelona
TLL Media Solutions,marketing digital,,tllmediasolutions.com,info@tllmediasolutions.com,Barcelona
Fluxo Digital Comercial,marketing digital,,fluxodigital.pt,comercial@fluxodigital.pt,Braga
