name,category,phone,website,email,address
Remarketing,marketing digital,933271406,www.remarketing.pt,geral@remarketing.pt,"Alameda dos Oceanos 41, Lisboa"
TEAM LEWIS Lisboa,marketing & PR,+351910939846,www.teamlewis.com,hellolisbon@teamlewis.com,"Rua Febo Moniz 27B, Lisboa"
Weboost,marketing digital,+351914678621,weboost.pt,info@weboost.pt,"R. Dom João I 256, Matosinhos"
UMADE,marketing digital,+351933819186,umade.pt,info@umade.pt,"Av Antunes de Guimarães 102, Porto"
IDSocial,marketing digital,+351916881888,idsocial.pt,geral@idsocial.pt,"Av da Boavista 1588, Porto"
Webcomum,marketing digital,,www.webcomum.com,geral@webcomum.com,Porto
Link&Grow,marketing digital,,linkandgrow.pt,geral@linkandgrow.pt,"Rua da Boavista 291, Porto"
Bydas,marketing digital,,www.bydas.com,geral@bydas.com,"Rua do Freixo 979, Porto"
Infinidata,marketing digital,,www.infinidata.pt,geral@infinidata.pt,"Av do Brasil 1, Lisboa"
Growme,marketing digital,,www.growme.pt,geral@growme.pt,"Rua Ivens 42, Lisboa"
