name,category,phone,website,email,address
Clínica da Avenida,clínica médica,,www.clinicadaavenida.pt,geral@clinicadaavenida.pt,"Av da República 25, Lisboa"
Clínica do Marquês,clínica médica,,www.clinicadomarques.pt,info@clinicadomarques.pt,"Praça do Marquês 30, Porto"
MedCenter,clínica médica,,www.medcenter.pt,geral@medcenter.pt,"Rua Castilho 75, Lisboa"
CUF Descobertas,clínica médica,,www.cuf.pt,info@cuf.pt,"Parque das Nações, Lisboa"
Clínica Luso Espanhola,clínica médica,,www.clel.pt,geral@clel.pt,"Rua Sá da Bandeira 784, Porto"
VitaSaúde,clínica médica,,www.vitasaude.pt,contacto@vitasaude.pt,"Av de Berna 10, Lisboa"
SaúdePlus,clínica médica,,www.saudeplus.pt,geral@saudeplus.pt,Braga
Clínica São Sebastião,clínica médica,,www.clinicasaosebastiao.pt,info@clinicasaosebastiao.pt,Aveiro
DentalCare Porto,clínica dentária,,www.dentalcareporto.pt,info@dentalcareporto.pt,"Rua de Cedofeita 318, Porto"
Fisioterapia Central,fisioterapia,,www.fisioterapiacentral.pt,geral@fisioterapiacentral.pt,"Rua do Almada 137, Porto"
