name,category,phone,website,email,address
Prime Yield,contabilidade,,www.primeyield.pt,geral@primeyield.pt,"Av da Liberdade 110, Lisboa"
Oliveira & Associados,contabilidade,+351213456789,www.oliveira-associados.pt,info@oliveira-associados.pt,"Rua do Ouro 145, Lisboa"
Contas Certas,contabilidade,,www.contascertas.pt,geral@contascertas.pt,"Praça do Marquês 71, Porto"
RCR Contabilidade,contabilidade,,www.rcrcontabilidade.pt,info@rcrcontabilidade.pt,"Rua de Aveiro 12, Porto"
SB Consulting,contabilidade,,www.sbconsulting.pt,geral@sbconsulting.pt,"Av dos Aliados 200, Porto"
Finpartner,contabilidade,,www.finpartner.pt,info@finpartner.pt,"Av da Boavista 3523, Porto"
Gestão Total,contabilidade,,www.gestaototal.pt,geral@gestaototal.pt,"Rua Alexandre Herculano 50, Lisboa"
NovaTax,contabilidade,,www.novatax.pt,info@novatax.pt,Braga
Accounting4u,contabilidade,,www.accounting4u.pt,geral@accounting4u.pt,"Rua de Santa Catarina 657, Porto"
Numera,contabilidade,,www.numera.pt,contacto@numera.pt,"Campo Grande 28, Lisboa"
