name,category,phone,website,email,address
ERA Imobiliária Lisboa,imobiliária,,www.era.pt,lisboa@era.pt,"Av da Liberdade, Lisboa"
Remax Collection,imobiliária,,www.remax.pt,collection@remax.pt,"Rua Castilho 39, Lisboa"
Century21 Portugal,imobiliária,,www.century21.pt,info@century21.pt,"Campo Grande 50, Lisboa"
KW Portugal,imobiliária,,www.kwportugal.pt,info@kwportugal.pt,"Av da Boavista 3265, Porto"
Porta da Frente Christie's,imobiliária,,www.portadafrente.com,info@portadafrente.com,"Rua D. Pedro V 76, Lisboa"
Savills Portugal,imobiliária,,www.savills.pt,portugal@savills.pt,"Av Engenheiro Duarte Pacheco 19, Lisboa"
JLL Portugal,imobiliária,,www.jll.pt,portugal@jll.pt,"Av Columbano Bordalo Pinheiro 108, Lisboa"
Imobiliária do Chiado,imobiliária,,www.imobiliariadochiado.pt,info@imobiliariadochiado.pt,"Rua do Carmo 12, Lisboa"
Predial Lopes,imobiliária,,www.prediallopes.pt,geral@prediallopes.pt,"Av dos Aliados 188, Porto"
Alma Property,imobiliária,,www.almaproperty.pt,info@almaproperty.pt,"Rua de Santa Catarina 738, Porto"
